"Location","latitude","longitude"
"King's Lynn and West Norfolk Borough",52.7508,0.3959
"Forney",32.748,-96.4714
"Weston-Super-Mare",51.346,-2.977
"Blaine",48.9931,-122.7476
"Alma",48.5507,7.6618
"Scituate Harbor",42.2014,-70.7205
"Forest Row",51.0987,0.0308
"Lake Mills",43.4079,-88.9122
"Cape Canaveral",28.3922,-80.6077
"Kilmarnock",37.7115,-76.3809
"Presque Isle",46.6814,-68.015
"Worthing",50.8179,-0.3729
"Death Valley",36.5054,-117.0794
"Stevenage Borough",51.9038,-0.1966
"Bothwell",55.8109,-4.0875
"Henrico",37.5059,-77.332
"Buckie",57.6753,-2.957
"Science Hill",37.1001,-84.5185
"Latham",42.746,-73.7602
"Leesville",31.1376,-93.274
"Thessaloniki",40.6401,22.9444
"Queen Creek",33.2484,-111.634
"Chamonix-Mont-Blanc",45.9225,6.8687
"La Push",47.9078,-124.6359
"Federal Way",47.3223,-122.3126
"Trieste",45.6495,13.7768
"Sunderland",54.9069,-1.3834
"Moses Lake",47.1301,-119.2781
"Barneveld",43.1858,-75.1952
"East Hemet",33.7397,-116.9816
"Lands End",50.0665,-5.714
"Waynesboro",38.0685,-78.8895
"Catford",51.4452,-0.0196
"Grafton",42.206,-71.6856
"Hollywood Hills",34.1283,-118.3536
"Livingston",40.7957,-74.3295
"Downers Grove",41.8089,-88.0112
"Montrose",38.4784,-107.8762
"Edmonds",47.8107,-122.3774
"Egmond aan Zee",52.6202,4.6207
"Matagalpa",12.9284,-85.9167
"Chalan Pago",13.4612,144.7625
"Westland",42.3242,-83.4002
"Centreville",38.7436,-77.483
"Wem",52.8602,-2.7389
"Okinawa-shi",26.2124,127.6792
"Stewartstown",39.7565,-76.5929
"Holbrook",42.1552,-71.005
"Huanchaco",-8.082,-79.1146
"Tolland",41.8715,-72.3684
"Collegeville",40.1307,-75.4574
"Isle of canna",57.0427,-6.4992
"Lapeer",43.0514,-83.3132
"Ypsilanti",42.2422,-83.612
"Pottstown",40.2454,-75.6496
"Weaverville",40.7162,-122.945
"Spruce Pine",35.9223,-82.07
"Pinellas Park",27.8428,-82.6995
"Copper Harbor",47.4677,-87.8834
"East Falmouth",41.5619,-70.5603
"Southington",41.5965,-72.8777
"Xining",36.6232,101.7782
"New Gloucester",43.9533,-70.2827
"Herrin",37.796,-89.0288
"Wayland",42.362,-85.5799
"Rittman",40.9784,-81.784
"Mar Vista",34.0031,-118.4545
"Vinnytsya",49.2331,28.4682
"Stroudsburg",40.9868,-75.1946
"Hooksett",43.0718,-71.4378
"North Bay",46.3168,-79.4657
"Bulimba",-27.4529,153.0569
"Murrysville",40.4268,-79.6939
"Mount Vernon",48.4212,-122.334
"Stillwater",36.1156,-97.0584
"Bridgeport",41.1865,-73.1952
"Merthyr Tydfil",51.7382,-3.3763
"Mostar",43.3423,17.8128
"Nekoosa",44.3144,-89.8983
"Orvieto",42.7165,12.1097
"Millbrook",41.7868,-73.6877
"Holyoke",42.2043,-72.6162
"Purley",51.337,-0.1141
"Little Compton",41.5105,-71.1718
"London Borough of Harrow",51.5806,-0.342
"Lake Ridge",38.6894,-77.293
"Forest Park",33.6245,-84.4127
"Brownsville",25.9993,-97.4686
"Wilmette",42.0722,-87.7228
"Oneonta",42.4529,-75.0635
"Skipton",53.9632,-2.0177
"Ibiza",38.9085,1.427
"Durand",42.8992,-88.2766
"Petersfield",50.9969,-0.9383
"Lincolnton",35.4737,-81.254
"Golborne",53.4645,-2.5503
"Fukui-shi",36.0644,136.2194
"Colts Neck",40.2923,-74.1755
"Ebbw Vale",51.7794,-3.2048
"Connersville",39.6417,-85.1412
"Gateshead",54.9527,-1.6174
"Perrysburg",41.5569,-83.6272
"El Monte",34.0686,-118.0276
"Monrovia",34.1443,-118.0019
"Byford",-32.2448,116.0219
"Kiambu",-1.1714,36.8304
"Asuncion",-23.4425,-58.4438
"Brimfield",42.1292,-72.2046
"Natchez",31.5604,-91.4032
"Coon Rapids",45.12,-93.2877
"Magna",40.7095,-112.1012
"Elkhart",41.6819,-85.9767
"Hellertown",40.5814,-75.3384
"Heiloo",52.6023,4.6922
"Lower Sydenham",51.4244,0.0384
"Grimes",41.7475,-93.7849
"Kittery",43.0979,-70.7367
"Tunbridge",51.9991,0.3497
"Cotati",38.3289,-122.7074
"Fort Ticonderoga",43.8489,-73.4232
"Aitkin",46.5316,-93.7103
"Oregon",45.3573,-122.6068
"Goderich",43.7442,-81.7134
"Holts Summit",38.6425,-92.1372
"Fairhope",30.523,-87.9034
"Altoona",40.5187,-78.3947
"Stephentown",42.5129,-73.3318
"Humble",29.9988,-95.2622
"Angwin",38.5779,-122.4444
"Leerdam",51.8958,5.0858
"Marrakesh",31.6295,-7.9811
"Chilhowie",36.7748,-81.7684
"Gansevoort",43.2052,-73.6693
"Saltspring Island",48.8163,-123.4282
"Shippensburg",40.0506,-77.5203
"São Paulo",-23.5505,-46.6333
"Carson",33.8314,-118.282
"Carpentersville",42.1212,-88.2579
"Hesperus",37.2766,-108.0069
"Logansport",40.7545,-86.3568
"San Angelo",31.4638,-100.437
"Margaretville",42.1498,-74.6483
"East Walpole",42.1621,-71.2148
"Fukuoka",33.5904,130.4017
"Mount Gretna",40.227,-76.4612
"Cocoa",28.3861,-80.7414
"Punta Gorda",26.9298,-82.0454
"Injibara",11.0886,36.0726
"Rosmalen",51.7219,5.3642
"Essendon",-37.7359,144.917
"Gurabo",18.2575,-65.978
"Oakdale",44.9943,-92.9644
"Garland",32.9126,-96.6389
"Imola",44.358,11.7168
"Bucksport",44.577,-68.8058
"Watchet",51.1815,-3.3266
"Staunton",38.1496,-79.0717
"Houlton",46.1255,-67.8396
"Christiansburg",37.1299,-80.4089
"North Aurora",41.8061,-88.3273
"Hawthorn Woods",42.2259,-88.0076
"Tel Aviv-Yafo",32.0853,34.7818
"Solihull",52.4128,-1.7785
"Rehoboth Beach",38.7168,-75.076
"Leiden",52.1601,4.497
"Flowood",32.3174,-90.1498
"Scottsville",37.7834,-86.272
"Thanet District",51.3593,1.3853
"Mount Gambier",-37.8284,140.7804
"Kitty Hawk Beach",36.0646,-75.7041
"Timnath",40.5417,-104.9763
"South Farmingdale",40.7056,-73.4276
"Redwood Shores",37.5335,-122.2364
"Ocho Rios",18.4151,-77.0336
"Bayou la Batre",30.4032,-88.247
"Craftsbury Common",44.6311,-72.3901
"Wolfville",45.0894,-64.3656
"Northborough",42.3195,-71.6411
"Greene",42.2686,-75.7719
"Bodega Bay",38.3365,-123.0472
"Port Jefferson Station",40.9296,-73.0496
"Harrisville",41.7346,-81.2692
"Fruita",39.1582,-108.7286
"Cornish",43.7842,-72.344
"Alsager",53.0932,-2.3079
"Biarritz",43.4832,-1.5586
"Glendora",34.1361,-117.8653
"Yeovil",50.941,-2.6336
"Ham Lake",45.2469,-93.2434
"Torshavn",62.0078,-6.7724
"Rosebush",43.872,-85.2669
"Dyersburg",36.0345,-89.3856
"Kaukauna",44.278,-88.2734
"Effingham",39.12,-88.5438
"Portola",39.8106,-120.4691
"Homer",59.6425,-151.5485
"Burlingame",37.5841,-122.3666
" St. Helena ",38.5052,-122.4697
"Quartz Hill",34.6614,-118.2188
"Soller",39.769,2.7166
"Cascade Locks",45.6736,-121.8912
"Frosterley",54.749,-2.0943
"Greencastle",39.6445,-86.8647
"Paddock Wood",51.1743,0.3895
"Krakow",50.0647,19.945
"Baraga",46.7794,-88.4976
"Lower Holloway",51.5476,-0.117
"Fortaleza",-3.7172,-38.5433
"Eldoret",0.52,35.2699
"Keswick",54.6016,-3.1396
"Kapolei",21.3356,-158.0861
"North Olmsted",41.4156,-81.9235
"Basking Ridge",40.7062,-74.5499
"Hawi",20.2621,-155.825
"Berryville",39.1477,-77.9874
"Helotes",29.578,-98.6884
"Lenexa",38.9536,-94.7336
"Becket",42.3496,-73.1138
"Chandigarh",30.7333,76.7794
"Elverson",40.1615,-75.7837
"Capri",40.5467,14.2673
"Tehachapi",35.1292,-118.4489
"Downtown Fairfield",41.1367,-73.257
"Salford",53.4839,-2.2446
"Harwich",51.941,1.2844
"Abu Dhabi",24.4539,54.3773
"Morrow",39.352,-84.2969
"Otis Orchards",47.7006,-117.104
"Berrien Springs",41.9424,-86.3547
"Aden",12.7797,45.0352
"Glen Allen",37.666,-77.5064
"Kalgoorlie",-30.7479,121.4747
"East London",-33.0198,27.551
"Welwyn Garden City",51.8032,-0.2087
"Katy",29.7858,-95.8244
"Accord",41.8226,-74.229
"Lorton",38.7048,-77.2286
"Banner Elk",36.1628,-81.8679
"Klatovy",49.396,13.2873
"Easley",34.8299,-82.6013
"Riga",56.9496,24.1052
"Lucerne Valley",34.4436,-116.9526
"Dexter",45.318,-69.2882
"Drummondville",45.8834,-72.4844
"Cottonwood",40.6171,-122.4224
"Glenarm",39.476,-89.5172
"Hokah",43.7759,-91.3525
"Tilburg",51.5861,5.0561
"Snoqualmie",47.5287,-121.8254
"Rocky River",41.4768,-81.85
"Corner Brook",48.9482,-57.9337
"Cowlington",35.3491,-94.6946
"Saugatuck",42.6556,-86.2014
"Stetsonville",45.1644,-90.2723
"Rancho Cordova",38.5891,-121.3027
"Joplin",37.076084137,-94.507598877
"New York",40.706577301,-73.8823738098
"Carleton Place",45.1391105652,-76.1353797913
"Byron Bay",-28.6478052139,153.6108856201
"Fort Worth",32.7541923523,-97.2952842712
"Farnham",51.2026824951,-0.8074085116
"Pittsburgh",40.4323062897,-79.9538764954
"Boston",42.3323383331,-71.0456199646
"Sheffield",53.3832931519,-1.4735835195
"Hattiesburg",31.3170757294,-89.3559989929
"Boca Raton",26.3770360947,-80.1295471191
"Sarasota",27.3224115372,-82.514755249
"Hamilton Mountain",43.224098,-79.866997
"Toronto",43.6774902344,-79.437374115
"Los Angeles",34.018239975,-118.3963775635
"Eastford",41.8715610504,-72.0668182373
"North Las Vegas",36.2198219299,-115.110244751
"Greater London",51.5006580353,-0.0915815085
"San Francisco",37.7776432037,-122.4472618103
"Spokane",47.6799316406,-117.4090843201
"London",51.4994449615,-0.0935554951
"London",42.9702510834,-81.248916626
"Ketchum",43.6846179962,-114.3734741211
"San Diego",32.8054790497,-117.1129264832
"Eureka Springs",36.4037494659,-93.7307243347
"Jersey City",40.7041435242,-74.0401916504
"Columbus",39.9959201813,-82.9749565125
"Columbus",32.4707641602,-84.9524765015
"Astoria",40.7683944702,-73.9034194946
"Chico",39.7509269714,-121.8275184631
"Orlando",28.4906749725,-81.3569107056
"Oceanside",33.2142620087,-117.3283195496
"Hobbs",32.7308578491,-103.1481170654
"Long Island",40.852509,-73.135849
"Minneapolis",45.0237445831,-93.2645683289
"Memphis",35.1264820099,-89.9317207336
"Rancho Cucamonga",34.1275634766,-117.5713424683
"Reedsville",40.6727771759,-77.6013946533
"Hempstead",40.7235965729,-73.582824707
"Salt Lake City",40.7298851013,-111.8337440491
"Downtown Los Angeles",34.0435142517,-118.2515869141
"Las Vegas",36.1593837738,-115.1843681335
"Las Vegas",35.5967636108,-105.2212753296
"Denver",39.7734947205,-104.8971099854
"Bozeman",45.6961174011,-111.0059661865
"Meridian",43.6158294678,-116.4046936035
"Ann Arbor",42.2711524963,-83.7333908081
"Crested Butte",38.8833694458,-107.0013427734
"Collingswood",39.9200782776,-75.0695343018
"Sicili",40.135391,15.53015
"Palo Alto",37.4288520813,-122.1566390991
"Olathe",38.8913822174,-94.8065986633
"Chicago",41.8408851624,-87.7295188904
"Winter Park",39.8997459412,-105.7722473145
"Winter Park",28.59968853,-81.3264122009
"Manhattan",40.7629089355,-73.969039917
"Manhattan",39.18201828,-96.5741844177
"Northampton",42.3269672394,-72.6351203918
"Northampton",52.2413845062,-0.8871669769
"Phoenix",33.583984375,-112.1066093445
"Brooklyn",40.6455001831,-73.9613761902
"Hereford",52.0518569946,-2.7236540318
"Vancouver",49.2546482086,-123.1301765442
"Vancouver",45.6629161835,-122.589099884
"Modesto",37.6451740265,-121.0047302246
"Milwaukee",43.0536727905,-87.9468193054
"Post Falls",47.7168712616,-116.952293396
"Philadelphia",40.0138053894,-75.1232452393
"Beverly Hills",-33.9524612427,151.0842514038
"Beverly Hills",34.0936279297,-118.4092712402
"Salem",44.9451370239,-123.0311775208
"Salem",42.5234642029,-70.8987236023
"Washington",38.9201526642,-76.9954147339
"Canberra",-35.5157279968,149.0222320557
"Brisbane",-27.392291069,153.1343078613
"Brisbane",37.6718978882,-122.3701667786
"Melbourne",-37.9798946381,145.0361785889
"Melbourne",28.1260528564,-80.6480445862
"Lehigh Valley",40.5767288208,-75.4866065979
"Baton Rouge",30.4386148453,-91.0993080139
"Mérida",20.9540214539,-89.6326408386
"Murrieta",33.5657501221,-117.1983146668
"Englewood",40.8944911957,-73.9668655396
"Ogden",41.2223014832,-111.9630393982
"Portland",43.6496696472,-70.2700996399
"Portland",45.5384216309,-122.666431427
"Portland",36.5729370117,-86.5287628174
"Irvine",33.6858959198,-117.7841262817
"Austin",30.3268089294,-97.7589683533
"Floyd",36.9082489014,-80.3030433655
"Princeton",40.3507499695,-74.669708252
"Savannah",32.049282074,-81.0989532471
"North Royalton",41.3174095154,-81.7542114258
"South Bend",41.6711883545,-86.2681999207
"Newport",51.5795230865,-2.9939254522
"Newport",50.7086219788,-1.2753165364
"Newport",35.9572658539,-83.2084846497
"Newport",41.4860115051,-71.3147468567
"North Atlanta",33.862953186,-84.3352966309
"Chowchilla",37.118303299,-120.2544555664
"Scottsdale",33.6617603302,-111.8731460571
"Hartford",41.7588596344,-72.6864967346
"Hartford",43.317111969,-88.3648300171
"Nashville",36.1912117004,-86.7920761108
"Ithaca",42.4386100769,-76.5018920898
"Ithaca",43.3013591766,-84.597038269
"Fresno",36.7866096497,-119.78099823
"Hesperia",34.4094676971,-117.3237304688
"Seattle",47.6120109558,-122.3050384521
"Wandsworth",51.4515171051,-0.1909135059
"Belgrade",44.7934074402,20.462679863
"Belgrade",44.4664878845,-69.8255119324
"Belgrade",45.7773399353,-111.1818122864
"Newark",40.746925354,-74.1903381348
"Newark",39.6993236542,-75.73595047
"Anchorage",61.165851593,-149.5607833862
"Newburyport",42.8061332703,-70.8767700195
"Pensacola",30.4320220947,-87.2331733704
"Peterborough City",52.5955677032,-0.3071020022
"Otis",44.694984436,-68.4647483826
"Houston",29.8564939499,-95.4170608521
"St. Petersburg",27.7802696228,-82.7073135376
"St. Petersburg",59.9240016937,30.3215465546
"Amsterdam",52.3736438751,4.9064679146
"Conway",33.8326072693,-79.0600624084
"Conway",35.0813999176,-92.4442558289
"Portsmouth",43.0565471649,-70.7577056885
"Portsmouth",50.8185558319,-1.0826680064
"Portsmouth",36.8646316528,-76.365776062
"Portsmouth",38.7431278229,-82.9614562988
"Portsmouth",41.591594696,-71.2681388855
"Atlanta",33.813949585,-84.4158096313
"Edinburgh",55.9461841583,-3.2126690149
"Charlotte",35.2259788513,-80.8269729614
"Boise",43.6032066345,-116.2160682678
"Buffalo",42.9065990448,-78.8306770325
"Little Rock",34.7262496948,-92.3412361145
"Mountain Green",41.1594181061,-111.8142204285
"Victoria",48.4212379456,-123.3718299866
"Brockton",42.0963230133,-71.0300712585
"St. Paul",44.9070034027,-93.0901222229
"Burnaby East",49.2499275208,-122.9257049561
"Kitui",-1.39817,38.012569
"Rock Hill",34.9269924164,-81.0206832886
"Dallas",32.832572937,-96.7993469238
"Stockport",53.3800563812,-2.1613019705
"Cumbria",54.577501297,-2.8996175528
"Moose Jaw",50.4024295807,-105.5395584106
"Warwick",52.2717628479,-1.6059600115
"Oakland",37.8147830963,-122.2526855469
"Oakland",43.4401683807,-123.3033676147
"Oakland",36.271301,-82.621201
"Riverbank",37.7208976746,-120.9473304749
"Costa Mesa",33.6562309265,-117.901348114
"Raleigh",35.787322998,-78.6257591248
"Kutztown",40.5170879364,-75.7728309631
"Kent",51.2281398773,0.8397005238
"Kent",41.1531047821,-81.3594894409
"Kent",47.3773956299,-122.1674156189
"Sheridan",43.2021980286,-85.069026947
"Taipei City",25.0855083466,121.5431938171
"Pawling",41.5728302002,-73.6027336121
"Mountain View",37.3964557648,-122.0814361572
"Provo",40.2580394745,-111.6535491943
"Winston-Salem",36.1081886292,-80.2467880249
"Hackettstown",40.8537445068,-74.8265075684
"Markham",43.8714389801,-79.3170127869
"Golden",39.8233776093,-105.2781639099
"Orem",40.2870597839,-111.6923828125
"Jacksonville",30.3409862518,-81.7019004822
"Morro Bay",35.3722267151,-120.8636856079
"Amarillo",35.1985626221,-101.8229179382
"Baltimore",39.2856521606,-76.6201553345
"Logan",41.7391853333,-111.8291130066
"Williamstown",42.6921520233,-73.2262306213
"Sydney",-33.8376865387,150.9266586304
"Sydney",46.1493110657,-60.1845207214
"Canton",42.3015193939,-83.4941101074
"Canton",40.8208522797,-81.3817062378
"Barrière",51.1815452576,-120.1394386292
"Sofia",42.6875419617,23.3323860168
"Salisbury",38.3578071594,-75.5738868713
"Shanghai",31.2198047638,121.477306366
"Laguna Beach",33.55427742,-117.778213501
"Indianapolis",39.7832336426,-86.1517562866
"Cardiff",51.4878387451,-3.1869790554
"Winnipeg",49.8673286438,-97.1904220581
"Fort Collins",40.5525798798,-105.073425293
"Palm Coast",29.5533657074,-81.2159767151
"Berkeley",37.8794231415,-122.2886047363
"Tucson",32.1805992126,-110.8912467957
"Vienna",38.9170207977,-77.2742004395
"Lincoln",53.2190284729,-0.5562895089
"Lincoln",40.8049240112,-96.6905250549
"Honolulu",21.4446516037,-157.8796310425
"Morristown",40.794752121,-74.4860191345
"Morristown",36.2370014191,-83.3101196289
"Frelighsburg",45.0480060577,-72.8342704773
"New Orleans",30.015501976,-89.9488868713
"Ottawa",45.2413444519,-75.8037605286
"Boulder",40.035774231,-105.2821121216
"Huntsville",34.701335907,-86.6330795288
"Huntsville",36.0911827087,-93.7329368591
"Dayton",35.5092182159,-85.0081863403
"Dayton",39.7540378571,-84.1778907776
"Bessemer",33.3890991211,-86.9640655518
"Miami",25.7887077332,-80.25025177
"Cambridge",42.3795871735,-71.1172027588
"Cambridge",52.2036304474,0.1310629994
"Cambridge",43.0310916901,-73.3846931458
"Cambridge",43.372385025,-80.332157135
"Brisbane Central",-27.4708337784,153.0246734619
"Birmingham",52.4599666595,-1.8741854429
"Birmingham",33.501335144,-86.7965354919
"Providence",41.8253078461,-71.4072914124
"Milton Keynes",52.0002689362,-0.72814399
"Springfield",37.1853580475,-93.2904586792
"Springfield",39.7767238617,-89.6512031555
"Springfield",40.6984901428,-74.3172950745
"Springfield",42.0738677979,-72.5576591492
"Richmond",37.9500904083,-122.3360023499
"Richmond",37.5063610077,-77.4480285645
"Richmond",37.759765625,-84.2750663757
"Richmond",29.5927858353,-95.7638587952
"Richmond",51.0299987793,-114.1179962158
"De Land",29.035654068,-81.2899856567
"Barcelona",41.4008579254,2.1485835314
"Glasgow",55.8518714905,-4.2451639175
"Sao Paulo",-23.5814161301,-46.5915317535
"Bournemouth",50.770067215,-1.7864364982
"South Ogden",41.191841,-111.966911
"Catskill",42.2063751221,-73.931640625
"Mukilteo",47.9138736725,-122.2855415344
"Odessa",31.8725233078,-102.3680229187
"Santa Monica",34.0253353119,-118.4950408936
"Bronx",40.8410453796,-73.8867683411
"Kansas City",39.0753669739,-94.5754852295
"Kansas City",39.1244907379,-94.7359085083
"Holland",42.7877025604,-86.1242141724
"Burbank",34.1951656342,-118.337600708
"Cincinnati",39.1339111328,-84.5389060974
"Bloomington",39.1674995422,-86.5342941284
"Bloomington",44.8224163055,-93.3101806641
"Bloomington",40.4919300079,-88.971408844
"York",39.9557723999,-76.7029914856
"York",53.9532012939,-1.0824530423
"Avondale",33.4359054565,-112.3270645142
"De Kalb",41.9228515625,-88.7588424683
"New London",41.3605175018,-72.0946006775
"Claremore",36.3102321625,-95.59740448
"Nottingham",52.983171463,-1.177682519
"St. Augustine",29.9099206924,-81.3839416504
"Wayne",42.2308654785,-97.0114135742
"Wayne",40.9605312347,-74.251209259
"Hong Kong",22.2598142624,114.1649856567
"San Jose",37.3191394806,-121.8499755859
"San Jose",9.9401426315,-84.1043891907
"Detroit",42.3546390533,-83.1028404236
"Chantilly",38.8865604401,-77.4238510132
"St. Louis",38.6356201172,-90.3082389832
"Green Bay",44.5233783722,-87.9999465942
"Amherst",42.8552856445,-71.6044692993
"Amherst",42.3637752533,-72.5098228455
"Victor",43.5932388306,-111.1165847778
"East Sussex",50.9201660156,0.3085184991
"Dodgeville",42.9855384827,-90.106426239
"Corpus Christi",27.7302494049,-97.3974189758
"Montgomery",32.3336029053,-86.2436752319
"Mckinney",33.1986465454,-96.6408920288
"Calgary",51.0305728912,-114.1180763245
"Greater Manchester",53.4919776917,-2.3128845096
"Laramie",41.3156871796,-105.5819587708
"Morehead",38.1875743866,-83.4431266785
"Dundee",56.483669281,-2.9180924892
"Queens",40.6757965088,-73.7834205627
"Clayton",39.6506500244,-75.0883102417
"Clayton",35.6608886719,-78.4489898682
"Tulsa",36.1280574799,-95.9123954773
"San Antonio",29.4660415649,-98.5078392029
"Louisville",38.2288703918,-85.7293777466
"Louisville",39.9714355469,-105.1536407471
"Aiken",33.5380821228,-81.7526283264
"Newman",37.3083896637,-121.0574913025
"Charleston",32.8002796173,-79.9701919556
"Charleston",39.4878234863,-88.1898841858
"Charleston",38.3455924988,-81.6384925842
"Brewster",41.7606887817,-70.0824165344
"North Yorkshire",54.0772323608,-1.3554270118
"Lleida",41.6289405823,0.5923174918
"South San Francisco",37.6277179718,-122.3967170715
"East Riding of Yorkshire",53.8667564392,-0.4346004799
"Evansville",37.9915294647,-87.569026947
"Somerville",42.391500473,-71.1004638672
"Jerusalem",31.7715368271,35.2006759644
"Windsor",45.5707416534,-72.0063438416
"Windsor",38.5389518738,-122.8183937073
"Lexington",38.016494751,-84.4756774902
"Lexington",33.9866867065,-81.2462158203
"Farmington Hills",42.4820632935,-83.3774299622
"Auburn",42.9341220856,-76.5810127258
"Auburn",32.6073474884,-85.4681549072
"Auburn",44.0971813202,-70.2538604736
"Auburn",47.3079490662,-122.2147674561
"Auburn",38.9071769714,-121.06640625
"Santa Maria",34.9373397827,-120.4511833191
"Oshkosh",44.0248756409,-88.5576248169
"New Haven",41.2974643707,-72.9313964844
"Des Moines",41.591337204,-93.6098442078
"Shoreditch",51.5262889862,-0.0803615004
"Melksham",51.3778133392,-2.1389214993
"Lawton",34.611738205,-98.4139595032
"Liverpool",53.4298019409,-2.9331884384
"Liverpool",29.3231067657,-95.2851104736
"Cheltenham",51.9258480072,-2.0723814964
"Cheshire",53.2141513824,-2.546245575
"Cheshire",41.4933452606,-72.9051322937
"Fayetteville",36.0509204865,-94.1925048828
"Fayetteville",35.0693283081,-78.9339294434
"Fayetteville",33.459564209,-84.4362449646
"Perth",-31.9229955673,115.9237861633
"Chelsea",40.7487468719,-74.014465332
"Chelsea",33.3402271271,-86.6256408691
"Elizabethtown",37.7065944672,-85.8536643982
"Champlin",45.1632633209,-93.4000701904
"Bend",44.0436649323,-121.3020515442
"Stanford",37.4161090851,-122.1707229614
"Hertfordshire",51.8381576538,-0.2574489936
"Boone",36.1972503662,-81.6597557068
"Newcastle upon Tyne",55.0006198883,-1.6261690259
"Sacramento",38.5963459015,-121.4176025391
"Summerville",33.0009479523,-80.1796531677
"Summerville",34.4629631042,-85.3462753296
"Charlottesville",38.064289093,-78.4841690063
"Ellicott City",39.269657135,-76.8179969788
"Edmonton",53.5320873261,-113.5095596313
"Edmonton",36.979309,-85.610893
"Towanda",41.7569980621,-76.4398651123
"Williamsburg",37.3235340118,-76.7354850769
"Williamsburg",40.7089233398,-73.9557342529
"Southsea",50.7895889282,-1.0794519782
"Tokyo",35.7113323212,139.7265701294
"Yuba City",39.1282558441,-121.6413078308
"Steubenville",40.3741931915,-80.6437988281
"Stoke-on-Trent",53.0098361969,-2.1532235146
"La Grande",45.3216819763,-118.0986671448
"Alexandria",38.780538559,-77.1112289429
"Plano",33.0395317078,-96.7425003052
"Fort Mitchell",39.0418434143,-84.5637931824
"International Falls",48.5893993378,-93.4197616577
"West Palm Beach",26.7248706818,-80.1208724976
"Watertown",42.3612270355,-71.1897926331
"Watertown",43.1937484741,-88.7265205383
"Watertown",43.9672718048,-75.9059677124
"Cedar Rapids",41.9779205322,-91.6766586304
"East Moline",41.5103683472,-90.4464454651
"Greensboro",36.0819530487,-79.8283042908
"Frederick",39.4218826294,-77.4370956421
"Green Valley",31.8707027435,-110.9966430664
"Copenhagen",55.6836948395,12.5497703552
"Kanab",37.0744609833,-112.5128936768
"Black Rock City",40.665184021,-119.3444824219
"Accra",5.564088583,-0.2001110017
"Ventura",34.2652683258,-119.242515564
"Colchester",51.8931026459,0.9007925093
"Agoura Hills",34.1503887177,-118.7873382568
"Northumberland",55.3031673431,-2.0498080254
"Pennsville",39.6447200775,-75.5292854309
"Adelaide",-34.9392185211,138.6193084717
"Mukwonago",42.8699207306,-88.3313865662
"Greenville",34.861907959,-82.3859634399
"Greenville",35.586555481,-77.3696517944
"Greenville",42.4085884094,-74.019317627
"Greenville",45.473323822,-69.5890541077
"Greenville",40.0932178497,-84.636932373
"Gardner",38.8065700531,-94.9312362671
"Asheville",35.5483436584,-82.5559043884
"Appleton",44.2687892914,-88.421207428
"Bremerton",47.5872173309,-122.6721801758
"Bolton",43.8997497559,-79.738319397
"Greenwich",41.046377182,-73.6447906494
"Spanaway",47.1059055328,-122.4298171997
"Iowa City",41.6682434082,-91.5510559082
"Denton",33.2021522522,-97.117023468
"Toms River",39.9899406433,-74.1551170349
"Umeå",63.8230342865,20.2586917877
"Antioch",42.46052742,-88.0846672058
"Randolph",42.1697845459,-71.0608673096
"Randolph",43.9396705627,-72.665977478
"Commerce Charter Township",42.5728816986,-83.4914665222
"Harrisburg",40.2940673828,-76.8588523865
"Frisco",33.145072937,-96.7901535034
"Carmel Church",37.928921,-77.479408
"Danvers",42.5729503632,-70.9571647644
"Albany",37.9014930725,-122.3180084229
"Albany",42.6569480896,-73.7864990234
"Blackpool",50.3183937073,-3.6097589731
"Highlands Ranch",39.5314426422,-104.9801368713
"Panama City",30.1626596451,-85.6725540161
"Narberth",51.7947063446,-4.7538714409
"Fenton",42.8028087616,-83.713092804
"Reston",38.9608230591,-77.353843689
"Moncton",46.1147232056,-64.783416748
"Northwest Side",41.9562091827,-87.7459144592
"Flint",43.0175437927,-83.7127952576
"Falmouth",50.1445083618,-5.054664135
"Arlington",38.865322113,-77.1113319397
"Arlington",42.4159488678,-71.166847229
"Arlington",32.6879253387,-97.1215782166
"Brighton and Hove City",50.8504142761,-0.1396460012
"Elora",43.6631851196,-80.4369392395
"Bellingham",48.7534160614,-122.4897193909
"North Attleboro",41.9625682831,-71.3223190308
"Leghorn",43.5428905487,10.2936635017
"Orange",33.8183193207,-117.8292655945
"Orange",42.5801067352,-72.3066101074
"Seaside",36.617149353,-121.8316421509
"Seaside",45.9914340973,-123.9381713867
"Hermosa Beach",33.8631744385,-118.387134552
"Key Largo",25.164191246,-80.4014053345
"Santiago",-33.4555130005,-70.6434593201
"San Mateo",37.5501594543,-122.2953414917
"Norfolk",36.8813552856,-76.2427558899
"Norfolk",52.679151535,1.0044954717
"Wright City",38.8291053772,-91.0294532776
"Branford",41.2753562927,-72.8022499084
"Hull",53.7304363251,-0.3733740076
"Everett",47.9351768494,-122.2273864746
"Weeki Wachee",28.5168704987,-82.5671424866
"Troy",42.5723552704,-83.1492500305
"Troy",42.7316093445,-73.6849479675
"Fairfield",39.3332538605,-84.5414276123
"Fairfield",41.1681995392,-73.2689208984
"Fairfield",41.0167617798,-91.9763565063
"Long Beach",33.785112381,-118.182636261
"Pomona",34.0569152832,-117.7688179016
"Sunnyvale",37.3922767639,-122.022228241
"Lebanon",40.3326129913,-76.4405632019
"Lebanon",43.64153862,-72.2730140686
"Lebanon",36.2042446136,-86.3107261658
